"filename", "language", "Dart", "JSON", "YAML", "JavaScript", "Markdown", "HTML", "XML", "C++", "Swift", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\truyou\lib\components\utils\responsive-widget\responsive_widget.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Flutter Projects\truyou\lib\components\utils\styles\app_theme.dart", "Dart", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Flutter Projects\truyou\lib\components\utils\utils.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Flutter Projects\truyou\lib\components\utils\validators\email_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 15
"c:\Flutter Projects\truyou\lib\components\utils\validators\long_text_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\name_validator.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Flutter Projects\truyou\lib\components\utils\validators\otp_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\password_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\phone_number_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\search_validator.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Flutter Projects\truyou\lib\components\utils\validators\short_text_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\utils\validators\trust_validator.dart", "Dart", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Flutter Projects\truyou\lib\components\utils\validators\validator.dart", "Dart", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Flutter Projects\truyou\lib\components\utils\validators\wallet_validator.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Flutter Projects\truyou\lib\components\widgets\back_button.dart", "Dart", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Flutter Projects\truyou\lib\components\widgets\chat_item.dart", "Dart", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 123
"c:\Flutter Projects\truyou\lib\components\widgets\color_chip.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Flutter Projects\truyou\lib\components\widgets\custom_app_bar.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Flutter Projects\truyou\lib\components\widgets\custom_drawer.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"c:\Flutter Projects\truyou\lib\components\widgets\custom_drop_down.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 108
"c:\Flutter Projects\truyou\lib\components\widgets\custom_switch.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Flutter Projects\truyou\lib\components\widgets\custom_textfield.dart", "Dart", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4, 117
"c:\Flutter Projects\truyou\lib\components\widgets\dialogs\custom_dialog.dart", "Dart", 833, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 14, 911
"c:\Flutter Projects\truyou\lib\components\widgets\divider.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 19
"c:\Flutter Projects\truyou\lib\components\widgets\drawer_item.dart", "Dart", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Flutter Projects\truyou\lib\components\widgets\gift_card.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 66
"c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\circular_glowing_button.dart", "Dart", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 63
"c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\glowing_button.dart", "Dart", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 87
"c:\Flutter Projects\truyou\lib\components\widgets\glow-buttons\outlined_glowing_button.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 79
